"","x"
"1447","18"
"1448","23"
"1449","20"
"1450","18"
"1451","20"
"1452","20"
"1453","20"
"1454","17"
"1455","24"
"1456","23"
"1457","20"
"1458","20"
"1459","16"
"1460","20"
"1461","19"
"1462","18"
"1463","18"
"1464","20"
"1465","18"
"1466","20"
"1467","20"
"1468","20"
"1469","18"
"1470","24"
"1471","17"
"1472","19"
"1473","19"
"1474","19"
"1475","20"
"1476","24"
"1477","26"
"1478","40"
"1479","22"
"1480","25"
"1481","20"
"1482","14"
"1483","16"
"1484","20"
"1485","23"
"1486","17"
"1487","22"
"1488","17"
"1489","25"
"1490","24"
"1491","25"
"1492","25"
"1493","19"
"1494","17"
"1495","19"
"1496","20"
"1497","20"
"1498","17"
"1499","16"
"1500","20"
"1501","23"
"1502","19"
"1503","19"
"1504","20"
"1505","19"
"1506","18"
"1507","24"
"1508","20"
"1509","20"
"1510","19"
"1511","20"
"1512","20"
"1513","20"
"1514","20"
"1515","19"
"1516","20"
"1517","20"
"1518","18"
"1519","20"
"1520","20"
"1521","20"
"1522","20"
"1523","16"
"1524","20"
"1525","20"
"1526","18"
"1527","20"
"1528","20"
"1529","23"
"1530","23"
"1531","16"
"1532","20"
"1533","23"
"1534","20"
"1535","20"
"1536","20"
"1537","20"
"1538","16"
"1539","18"
"1540","17"
"1541","19"
"1542","22"
"1543","20"
"1544","20"
"1545","20"
"1546","20"
"1547","19"
"1548","18"
"1549","20"
"1550","20"
"1551","20"
"1552","20"
"1553","20"
"1554","20"
"1555","20"
"1556","16"
"1557","17"
"1558","20"
"1559","20"
"1560","16"
"1561","16"
"1562","20"
"1563","20"
"1564","16"
"1565","20"
"1566","17"
"1567","17"
"1568","19"
"1569","19"
"1570","20"
"1571","20"
"1572","19"
"1573","23"
"1574","25"
"1575","19"
"1576","18"
"1577","18"
"1578","16"
"1579","20"
"1580","17"
"1581","20"
"1582","16"
"1583","24"
"1584","16"
"1585","25"
"1586","25"
"1587","19"
"1588","24"
"1589","43"
"1590","8"
"1591","12"
"1592","2"
"1593","43"
"1594","12"
"1595","1"
"1596","6"
"1597","9"
"1598","43"
"1599","10"
"1600","10"
"1601","41"
"1602","1"
"1603","10"
"1604","1"
"1605","10"
"1606","3"
"1607","6"
"1608","1"
"1609","1"
"1610","9"
"1611","9"
"1612","3"
"1613","3"
"1614","2"
"1615","43"
"1616","41"
"1617","7"
"1618","12"
"1619","2"
"1620","9"
"1621","1"
"1622","2"
"1623","1"
"1624","2"
"1625","3"
"1626","6"
"1627","1"
"1628","11"
"1629","41"
"1630","6"
"1631","3"
"1632","9"
"1633","11"
"1634","8"
"1635","1"
"1636","3"
"1637","10"
"1638","1"
"1639","10"
"1640","10"
"1641","7"
"1642","8"
"1643","1"
"1644","3"
"1645","1"
"1646","9"
"1647","6"
"1648","1"
"1649","9"
"1650","9"
"1651","12"
"1652","7"
"1653","7"
"1654","11"
"1655","2"
"1656","6"
"1657","1"
"1658","1"
"1659","1"
"1660","3"
"1661","10"
"1662","9"
"1663","1"
"1664","1"
"1665","7"
"1666","3"
"1667","1"
"1668","6"
"1669","7"
"1670","10"
"1671","10"
"1672","9"
"1673","3"
"1674","1"
"1675","9"
"1676","2"
"1677","1"
"1678","1"
"1679","10"
"1680","12"
"1681","1"
"1682","1"
"1683","2"
"1684","11"
"1685","12"
"1686","10"
"1687","2"
"1688","2"
"1689","41"
"1690","8"
"1691","3"
"1692","1"
"1693","41"
"1694","4"
"1695","10"
"1696","11"
"1697","10"
"1698","10"
"1699","5"
"1700","27"
"1701","10"
"1702","4"
"1703","2"
"1704","1"
"1705","10"
"1706","43"
"1707","8"
"1708","4"
"1709","43"
"1710","9"
"1711","10"
"1712","2"
"1713","3"
"1714","2"
"1715","41"
"1716","43"
"1717","1"
"1718","10"
"1719","41"
"1720","10"
"1721","9"
"1722","10"
"1723","2"
"1724","41"
"1725","2"
"1726","43"
"1727","9"
"1728","3"
"1729","10"
"1730","10"
"1731","1"
"1732","10"
"1733","5"
"1734","10"
"1735","2"
"1736","10"
"1737","1"
"1738","10"
"1739","11"
"1740","10"
"1741","10"
"1742","11"
"1743","1"
"1744","10"
"1745","1"
"1746","9"
"1747","1"
"1748","1"
"1749","1"
"1750","41"
"1751","10"
"1752","1"
"1753","10"
"1754","1"
"1755","9"
"1756","41"
"1757","12"
"1758","10"
"1759","1"
"1760","1"
"1761","1"
"1762","10"
"1763","10"
"1764","3"
"1765","6"
"1766","1"
"1767","10"
"1768","10"
"1769","1"
"1770","9"
"1771","10"
"1772","3"
"1773","4"
"1774","12"
"1775","10"
"1776","3"
"1777","42"
"1778","3"
"1779","5"
"1780","4"
"1781","43"
"1782","3"
"1783","1"
"1784","6"
"1785","41"
"1786","2"
"1787","1"
"1788","4"
"1789","1"
"1790","10"
"1791","10"
"1792","12"
"1793","41"
"1794","6"
"1795","10"
"1796","5"
"1797","5"
"1798","12"
"1799","10"
"1800","1"
"1801","10"
"1802","10"
"1803","4"
"1804","3"
"1805","3"
"1806","1"
"1807","45"
"1808","41"
"1809","42"
"1810","43"
"1811","5"
"1812","1"
"1813","2"
"1814","1"
"1815","10"
"1816","5"
"1817","1"
"1818","43"
"1819","1"
"1820","4"
"1821","9"
"1822","4"
"1823","11"
"1824","8"
"1825","6"
"1826","11"
"1827","10"
"1828","8"
"1829","1"
"1830","8"
"1831","1"
"1832","3"
"1833","10"
"1834","6"
"1835","6"
"1836","43"
"1837","11"
"1838","6"
"1839","2"
"1840","2"
"1841","10"
"1842","12"
"1843","10"
"1844","44"
"1845","1"
"1846","43"
"1847","8"
"1848","43"
"1849","3"
"1850","9"
"1851","1"
"1852","9"
"1853","10"
"1854","12"
"1855","5"
"1856","43"
"1857","43"
"1858","1"
"1859","11"
"1860","10"
"1861","1"
"1862","1"
"1863","10"
"1864","1"
"1865","2"
"1866","10"
"1867","10"
"1868","27"
"1869","6"
"1870","10"
"1871","43"
"1872","27"
"1873","8"
"1874","1"
"1875","43"
"1876","10"
"1877","1"
"1878","10"
"1879","43"
"1880","1"
"1881","10"
"1882","42"
"1883","2"
"1884","8"
"1885","11"
"1886","3"
"1887","6"
"1888","2"
"1889","43"
"1890","12"
"1891","9"
"1892","3"
"1893","42"
"1894","10"
"1895","10"
"1896","10"
"1897","8"
"1898","1"
"1899","1"
"1900","8"
"1901","1"
"1902","9"
"1903","10"
"1904","10"
"1905","5"
"1906","11"
"1907","8"
"1908","1"
"1909","4"
"1910","10"
"1911","10"
"1912","42"
"1913","5"
"1914","10"
"1915","1"
"1916","3"
"1917","1"
"1918","3"
"1919","10"
"1920","12"
"1921","10"
"1922","8"
"1923","41"
"1924","43"
"1925","10"
"1926","10"
"1927","1"
"1928","41"
"1929","3"
"1930","10"
"1931","8"
"1932","3"
"1933","8"
"1934","10"
"1935","10"
"1936","1"
"1937","1"
"1938","10"
"1939","10"
"1940","10"
"1941","10"
"1942","1"
"1943","2"
"1944","33"
"1945","1"
"1946","1"
"1947","3"
"1948","2"
"1949","40"
"1950","2"
"1951","44"
"1952","36"
"1953","11"
"1954","22"
"1955","1"
"1956","12"
"1957","26"
"1958","10"
"1959","2"
"1960","30"
"1961","40"
"1962","28"
"1963","32"
"1964","1"
"1965","40"
"1966","3"
"1967","36"
"1968","10"
"1969","10"
"1970","2"
"1971","29"
"1972","10"
"1973","30"
"1974","8"
"1975","41"
"1976","1"
"1977","43"
"1978","5"
"1979","12"
"1980","1"
"1981","2"
"1982","40"
"1983","40"
"1984","3"
"1985","7"
"1986","42"
"1987","28"
"1988","3"
"1989","2"
"1990","22"
"1991","10"
"1992","3"
"1993","36"
"1994","12"
"1995","10"
"1996","3"
"1997","8"
"1998","35"
"1999","1"
"2000","29"
"2001","2"
"2002","12"
"2003","6"
"2004","32"
"2005","14"
"2006","1"
"2007","1"
"2008","2"
"2009","34"
